ncode,narou_title,match_score,is_matched,annict_id,annict_title,watchers_count,satisfaction_rate,reviews_count,episodes_count,season_year,season_name,media,fetched_at
N0553MG,婚約破棄された瞬間、“心の実況”が全国に流れ始めました ～「おっと王太子、ここで致命的失言ー！」じゃありませんわ！～,0.0,False,,,,,,,,,,2026-06-23
N6726MG,悪役令嬢の飼い猫になったようです,0.0,False,,,,,,,,,,2026-06-23
N3532LQ,【完結】なぜ、私に関係あるのかしら？【番外編更新】,0.0,False,,,,,,,,,,2026-06-23
N5144MG,【第二部完結】アルジェ・ロッシーニ元王太子妃の剣,0.0,False,,,,,,,,,,2026-06-23
N7879JW,私のことだけ忘れた旦那様,0.0,False,,,,,,,,,,2026-06-23
N1519MH,そうやって相手を縛り付ける,0.0,False,,,,,,,,,,2026-06-23
N3323MC,悪役令嬢に転生したけれど、とりあえず放置していいですか？,0.0,False,,,,,,,,,,2026-06-23
N8574MH,忘れてはいけない,0.0,False,,,,,,,,,,2026-06-23
N7476ME,あなた方が散々虐げた私こそが本物の聖女です。殿下、今のお気持ちはいかがですか？,0.0,False,,,,,,,,,,2026-06-23
N0148MB,すれ違わない政略結婚,0.0,False,,,,,,,,,,2026-06-23
N9728MG,【短編】私を捨てた貴方を今度は私が捨てます,0.0,False,,,,,,,,,,2026-06-23
N0165MI,なんでもほしがる妹に私の人生をあげてみた,0.0,False,,,,,,,,,,2026-06-23
N7559MH,短編「うちのお父様は『遊び人』がお仕事です」,0.0,False,,,,,,,,,,2026-06-23
N0385MF,婚約者の幼なじみがしつこく絡んでくるのですが、前世の素敵なカフェバーのマスターだったおっさんの助言通りにシカトしてみた。,0.0,False,,,,,,,,,,2026-06-23
N6960MC,【連載版】最低な噂をお持ちの侯爵閣下と契約結婚しましたが、それはさておき義娘がとてもすごくかわいい,0.0,False,,,,,,,,,,2026-06-23
N0177LI,兄嫁と再婚するから離婚してくれと土下座されました,0.0,False,,,,,,,,,,2026-06-23
N8421MF,「君では代わりになれない」と言われたので婚約破棄をしたら、相手が公開処刑されてしまいました。,0.0,False,,,,,,,,,,2026-06-23
N3526MI,陛下に申し上げただけですわ【6/22　続き・おまけ投稿しました】,0.0,False,,,,,,,,,,2026-06-23
N1852MH,私を裏切って義妹と結婚した人が私に会いたいそうです。え、裏切ってない？,0.0,False,,,,,,,,,,2026-06-23
N4413MG,ダンジョン湖畔の休憩地   〜限定オリジンスキルで始めた小さな宿屋に、探索者たちが帰ってくる〜,0.0,False,,,,,,,,,,2026-06-23
N3629MA,会社をクビになった俺、深夜ダンジョンでゴミ拾いしてたら【鑑定】が覚醒して配信界のトップになった,0.0,False,,,,,,,,,,2026-06-23
N1151MI,私の死を待つ皆様へ【連載開始/短編版】,0.0,False,,,,,,,,,,2026-06-23
N4292MF,必要なのは「血」である,0.0,False,,,,,,,,,,2026-06-23
N3453MB,婚約解消は陛下の命令です、なおその後,0.0,False,,,,,,,,,,2026-06-23
N3543MF,だって貴方が言ったのよ「お前は悪役令嬢だ」と〜その冤罪すべて認めて差し上げますわ,0.0,False,,,,,,,,,,2026-06-23
N1545MG,婚約破棄中の王子の隣で男爵令嬢がこてんと首を傾げたら,0.0,False,,,,,,,,,,2026-06-23
N5488MG,焼きたての香りが消えるころ、わたしの初恋も終わりを告げました。私は、もうあなたを待ちません。,0.0,False,,,,,,,,,,2026-06-23
N4384ME,姉が産んだ子を育てたら、愛に溢れた毎日が舞い込んできました～娘は竜人族の長の『魂の番』で、私も一緒に竜人国へ連れ去られるようです～,0.0,False,,,,,,,,,,2026-06-23
N1556MI,私の可哀想な異母妹,0.0,False,,,,,,,,,,2026-06-23
N1060MH,一方通行の恋を捨てて逃亡したら仕事が楽しすぎました～婚約者様は放っておいてください～,0.0,False,,,,,,,,,,2026-06-23
N0063LR,もし、社畜が異世界の第三王子に転生したら【連載版】,0.0,False,,,,,,,,,,2026-06-23
N6207MH,「叶わぬ恋を抱くことほど、辛いものはないのだから」そう言って、白馬の王子様の元婚約者は悲しそうに微笑んだ,0.0,False,,,,,,,,,,2026-06-23
N3874MG,月神様のお気に入り,0.0,False,,,,,,,,,,2026-06-23
N5833MG,幼なじみを優先するなら、婚約解消します～婚約者は二番目らしいので身を引きます～,0.0,False,,,,,,,,,,2026-06-23
N7526MG,妹に婚約者を奪われたので聖女になりましたが,0.0,False,,,,,,,,,,2026-06-23
