ncode,title,author,genre,tags,is_anime,anime_id,monthly_rank_latest,bookmark_count_latest,updated_at,weekly_unique_latest,all_point_latest,all_hyoka_cnt_latest,episode_count_latest,story,impression_cnt_latest,review_cnt_latest,length,global_point_latest,daily_point_latest,weekly_point_latest,monthly_point_latest,general_lastup,novel_updated_at,biggenre,is_isekai_tensei,is_isekai_tenni,is_completed
N9619HU,バスタード・ソードマン,ジェームズ・リッチマン,201,R15 残酷な描写あり ボーイズラブ ガールズラブ 異世界転生 冒険 日常 スローライフ 発明 狩猟,False,,765,50237,2026-08-31,0,145524,15319,436,"それなりに強力なギフトを持って異世界に転生したものの、モングレルには大きな野望も志もなかった。
やろうと思えば強い魔物も倒せるし、世界を揺るがす先進的な知識もないことはない。
だが、そうして活躍することによって生まれる軋轢やトラブルを考えると、保身に走ってしまうのが彼の性格だった。
ギルドで適当に働いて、適当に飲み食いして、時々思いつきで何かをする。
これは中途半端な適当男の、あまり冒険しない冒険譚。
＊この小説はハーメルン、カクヨムにも投稿されています＊
＊2023年5月30日に書籍化されました＊",14476,15,1836755,245998,68,462,2040,,,2,1,0,1
N7583DE,自動販売機に生まれ変わった俺は迷宮を彷徨う,昼熊,201,異世界転生 ダンジョン 自動販売機 迷宮 商売 人外転生 コミカライズ アニメ いらっしゃいませ,False,,,0,2026-06-19,,,,,,,,,,,,,,,,,,
N6577MD,【書籍化・コミカライズ進行中】３才児ですが可愛い花嫁がやってきた！と溺愛されてます。しかし私は敵国の最強魔法帝です,六花きい,101,ほのぼの 女主人公 ハッピーエンド 一途すぎる冷血将軍 ファンタジー ヒロイン最強 ねこ,False,,,0,2026-06-19,,,,,,,,,,,,,,,,,,
N2567KB,【書籍、電子書籍発売中】この結婚が終わる時,ねここ,101,R15 異世界転生 異世界転移 男主人公 女主人公 西洋 中世 現代 魔法 身分差 悪役令嬢 スッキリ 逆転 片思い,False,,,0,2026-06-19,,,,,,,,,,,,,,,,,,
N6893ME,夫の不貞を暴露したのは、彼の愛人の息子だった～テンプレ通り夫は捨て、息子を拾って育てることにします～,ぽんた,101,ハッピーエンド 不貞 愛人の子 暴露 幼馴染 虐待 領地経営 白い結婚 別居 ざまぁ,False,,,24,2026-06-23,0.0,1366.0,168.0,1.0,"カヨ・ローレンス侯爵夫人には、別居中の夫がいる。ある日、ボロボロの少年がカヨに会いに来た。少年は、暴露する。カヨの夫は、不貞を働いていると。そして、自分はその愛人との息子なのだと。虐待でボロボロの少年からその話を聞いたカヨは、夫とその愛人に目に物見せてやると誓った。

※ハッピーエンド確約。ざまぁあり。ご都合主義のゆるゆる設定はご容赦願います。",0.0,0.0,9115.0,1414.0,0.0,18.0,1414.0,,,,,,
N1208MD,おこりんぼ聖女を召喚したら,あんど　もあ,302,R15 残酷な描写あり 異世界転移 ＢＷＫ大賞１ 魔王 聖女 王太子 公爵令嬢 召喚 封印,False,,,0,2026-06-20,0.0,32100.0,3615.0,1.0,,,,,,,,,,,,,,
N1097ME,ツンデレは親にとっては、ただのイジメっこ。もしくはストーカー,喬木まこと,302,男主人公 現代 ザマア ツンデレ幼馴染 いじめっ子 ストーカー,False,,,0,2026-06-19,,,,,,,,,,,,,,,,,,
N3742EY,ご主人様とゆく異世界サバイバル！,リュート,201,R15 残酷な描写あり 異世界転移 オリジナル戦記 冒険 男主人公 西洋 中世 サバイバル ハーレム,False,,,40602,2026-06-23,0.0,82494.0,8976.0,435.0,"気がついたら明らかに地球ではないどこかに居た！
何故！？　そんなものはわからん！
だが、とにかく生き残らなければ。黙っていても喉は渇くし、腹は減るし、危険生物に遭遇するかも知れないし。
おお、クラフトメニュー使えるやんけ！？　意識すればなんかキーボード操作も効くやんけ！
勝ったな……と思っていた時が僕にもありました。

遭遇する未知の生物！　寝込みを襲ってくる凶暴な人物！　人間に対して恨みを持つ亜人達！
あ、はい、奴隷でもなんでも良いんで保護してください。俺はよく働きますよご主人様。

サバイバル系のＰＣゲームが大好きな主人公が突如異世界に迷い込み、凶暴だけど美人で可愛らしいご主人様と一緒に生き残るために戦っていく物語です。
",0.0,0.0,1757130.0,163698.0,20.0,150.0,1386.0,,,,,,
N1976EY,俺は星間国家の悪徳領主！,三嶋　与夢,402,R15 残酷な描写あり 異世界転生 ダーク 男主人公 ロボット アンドロイド ハーレム スペースオペラ 貴族 星間国家 勘違い,False,,,127148,2026-08-17,0.0,348093.0,36166.0,260.0,"リアム・セラ・バンフィールドは転生者だ。
剣と魔法のファンタジー世界に転生したのだが、その世界は宇宙進出を果たしていた。
星間国家が存在し、人型兵器や宇宙戦艦が戦うスペースオペラな世界。
貴族たちが支配する帝国の伯爵家に転生したリアムには野望があった。
それは――悪徳領主になることだ。
前世、不幸にも全てを失い絶望の中で死んだリアム。
――善良に生きるなんて馬鹿らしい。
――好き勝手に生きてやる。
そんな気持ちを胸に、第二の人生を歩もうとするのだが、価値観の違いから名君として崇められてしまう。
リアムは無事、悪徳領主になれるのだろうか？

オーバーラップ文庫様より書籍化！

現在【俺は星間国家の悪徳領主！　1～4巻】が発売中です！",21633.0,45.0,1307392.0,602389.0,46.0,300.0,1474.0,,,4.0,1.0,0.0,1.0
N8802BQ,八男って、それはないでしょう！　,Ｙ．Ａ,201,残酷な描写あり 異世界転生 ハーレム 魔法 転生・憑依 異世界 貴族 料理 出世 柵 八男,True,,,0,2026-06-19,,,,,,,,,,,,,,,,,,
N8745HM,【漫画版 配信！】魔力量歴代最強な転生聖女さまの学園生活は波乱に満ち溢れているようです～王子さまに悪役令嬢とヒロインぽい子たちがいるけれど、ここは乙女ゲー世界ですか？～,行雲流水,201,R15 残酷な描写あり 異世界転生 女主人公 日常 乙女ゲーム 悪役令嬢 聖女 ヒロイン 婚約破棄 学園モノ 主人公ほどほど強い 微ざまあ 成り上がり 人脈 集英社小説大賞３ 執筆応援フェア,False,,,22825,2026-06-29,0.0,52520.0,5777.0,1630.0,"　お知らせ：書籍版 第三巻まで発売中！　コミカライズ版 各配信サイトさまにて発売中！　6/3～ニコニコ動画さんにてコミカライズ版配信開始！

　転生した。孤児だった。崖っぷちギリギリライフを営んでいたら聖女に選ばれた――なんで？

　でもまあ、暖かい寝床とご飯がきっちりとあるのは有難い。

　後ろ盾である公爵さまの計らいで後学の為にと、貴族の子女が多く通う王立学院の入試を受け無事合格となる。孤児仲間兼幼馴染の二人は騎士科へ。私は普通科の筈だったのに何故か特進科へ転科した。理由は、試験で歴代最高得点の次点を叩き出したからだそうだ。そうしてもう一人、可愛らしいピンクブロンドの少女が歴代最高得点を獲得した、と。

　聖女という役職持ちではあるものの平民の私が簡単に彼ら彼女らに受けいれられることはあるのだろうか。――王子さまに公爵令嬢、他にも近衛騎士団長の息子に魔術師団の息子に王子さまの側近にetc……私が進む学年ってなんだか高位貴族の子女が多く所属してません？　しかもピンクブロンドの女の子は平民だっていうのに彼らと距離、近くない？　なんだか乙女ゲーのようなことをしているなあと眺めていたら、彼らの婚約者さまたちのオーラがすんごいことになってるんだけれどもっ！？

　※異世界転生モノが書きたくなったので書いて投げました。一次創作は初投稿になりますので、お手柔らかに。ご感想お待ちしております。

　ハーメルン様にも『セレブリティームーブが止まらない～王立学院は本日も平和です～』というタイトル名で投稿しております。（4/17にタイトル統一）カクヨム様にもなろう様と同タイトルで投稿を始めました。

　第三回集英社web小説大賞・金賞を頂きました！　┏○))ペコ",12793.0,1.0,6338584.0,98170.0,42.0,282.0,1400.0,,,,,,
N0326LM,他人の婚約破棄と枠外の“僕”と“婚約者殿”,もこもこハダカデバネズミ,101,R15 残酷な描写あり ダーク 男主人公 他人の婚約破棄,False,,,197,2026-07-13,0.0,4166.0,488.0,2.0,"“婚約者殿”にメロメロしてるだけの“僕”が、他人の婚約破棄が人生に掠ってきて少し不快になったりするはなし。人は死ぬし処刑もある残酷ファンタジー世界で、特に問題なく生きてる貴族。

⚠物語の中に恋愛要素は薄いですが、語り手はずっと婚約者と相思相愛でずっとメロメロしてるので『恋愛』の枠の中にいれています。

※以前Xで書いたものを軽く加筆修正しよ♪と思ったら4倍くらいになりました。
※2025年12月11日 活動報告に本編に関係ない設定追加",5.0,0.0,12786.0,4560.0,16.0,88.0,1670.0,,,1.0,0.0,0.0,0.0
N0867KG,やんでれ？　何ですのそれ？,豊川颯希,302,身分差 魔術師 双子 西洋風 ヤンデレ,False,,,83,2026-06-29,0.0,2948.0,333.0,1.0,エノリア男爵家の双子・リリーとリドは、公爵家で開かれたパーティーで二つとない宝物を見つける──これは、とある不遇な少年が少々変わった双子に心を救われ、光のヤンデレへと成長する物語。,2.0,0.0,14705.0,3114.0,2.0,22.0,1426.0,,,,,,
N0962MH,「すぐ戻る」と幼馴染の元へ走った夫を、私は笑顔で見送りました,かおるこ,102,,False,,,73,2026-06-29,0.0,1266.0,168.0,11.0,"結婚記念日の灯りが
テーブルのワイングラスに揺れていた。

焼きたてのパンの香り。
花屋で買った小さな薔薇。

私は今日という日を
少しだけ楽しみにしていた。

その時。

あなたのスマートフォンが鳴った。

震える指先。
変わる顔色。

そして聞き慣れた名前。

幼馴染。

あなたは立ち上がり、

「すぐ戻る」

と言った。

私は微笑んだ。

「いってらっしゃい」

と。

引き留めなかった。

袖も掴まなかった。

泣きもしなかった。

玄関のドアが閉まる音は、
思ったより静かだった。

私は一人で席に戻り、

冷めていくスープを見つめた。

湯気は消え、

期待も消え、

そして何かが終わった。

その夜から私は、

待つことをやめた。

帰りを待つ妻を。

信じる妻を。

許し続ける妻を。

少しずつ。

少しずつ。

まるで冬が庭を覆うように。

心は静かに冷えていった。

あなたは知らない。

私の笑顔が、

許しではなかったことを。

あなたは知らない。

私の沈黙が、

諦めではなかったことを。

あなたは知らない。

優しさの下で、

何かが静かに育っていたことを。

記録。

証拠。

真実。

そして決意。

あなたは何度も言った。

「すぐ戻る」

けれど。

一度も戻ってこなかったのは、

あなたの心の方だった。

だから私は見送った。

笑顔で。

ひまわりのように。

春の日差しのように。

何も知らない妻の顔で。

見送った。

あなたが選んだ道へ。

あなたが望んだ未来へ。

あなたが捨てた幸せの外へ。

そして最後の日。

あなたは振り返る。

何もかも失って。

初めて気付く。

本当に愛してくれた人を。

本当に帰るべき場所を。

けれどその時には、

もう遅い。

私は新しい窓を開ける。

朝の風が吹く。

コーヒーの香りがする。

青い空が広がっている。

着信音が鳴る。

懐かしい名前。

けれど私は微笑んで、

静かに画面を閉じる。

そして、あの日と同じ言葉を口にする。

「いってらっしゃい」

今度は本当に。

二度と戻らないあなたへ。
",4.0,0.0,21793.0,1412.0,0.0,4.0,1412.0,,,,,,
N1729LV,エルフ王は唯一むに！　～隠居して趣味で刀作りにハマったら、僕、いつのまにか創剣神と呼ばれてた？～,茉森 晶,201,R15 残酷な描写あり 異世界転生 ほのぼの 男主人公 チート 魔法 ハッピーエンド ラブコメ エルフ 美少年,False,,,447,2026-07-06,0.0,862.0,98.0,35.0,"日本刀を偏愛する朝香唯逸(あさか ただいつ)は異世界転生し、
【世界で唯一のエルフ男子】ザクト・レインシスとして生まれた。

【エルフ王】として大事に育てられてきたが、
そんな重い責任は負いたくないザクト。
現代の知識を元にエルフの里を大発展させ、
15歳の頃には「十分に王の責任を果たした」と隠居して、
山中の鍛冶小屋に引き籠もってしまう。

が……趣味で刀鍛冶に打ち込んでいたら、
いつのまにか世間で【創剣神】と呼ばれるようになっていた！？　
ザクトの作った刀剣たちが、国同士のパワーバランスを左右する
【七神剣】として扱われ、魔族をも巻き込んだ混乱を引き起こす！　
他のエルフより成長が遅い少年の姿ながらスペックは最強なので、
人助けもしつつ、我が子同然の愛する刀たちを迎えに行く……！

という感じのお話です！　
応援よろしくお願いします！

＊基本ほっこりハッピー方向になるので、極端なストレス展開はないです。
＊ラブコメ好きなので、そういう展開もあるかもですが、
　主人公ザクトは少年なこともあり積極的ではないです。
＊現在の更新ペース予定は【月・水・金】です。
＊カクヨムでも掲載中です。

",8.0,1.0,69195.0,1756.0,2.0,26.0,1558.0,,,2.0,1.0,0.0,1.0
N0084ME,今日踏み出すのは、幸せへの一歩,高瀬海之,101,シリアス 男主人公 女主人公 群像劇 献身 祈り願う愛 猜疑心 心の傷,False,,,93,2026-07-13,0.0,2270.0,284.0,6.0,"第三王子コーネリアス配下の文官ベリンダの退職の日。自身の仕事の証として大量の書類を王子に渡したベリンダは静かにすべてに別れを告げた。
涙はこぼさない。
泣く資格はない。
彼女を見送った王子とその側近たちは、彼女の未来に幸多かれと願いながら、今日までの日々を思い返す。",0.0,0.0,21708.0,2456.0,0.0,54.0,2212.0,,,1.0,0.0,0.0,0.0
N0086MI,攻略組が帰った後から始まるVRMMO　〜イベントに遅れた俺だけが、誰にも拾われなかったユニークを見つける〜 ,桜めんと,401,R15 ＥＳＮ大賞１１ シリアス ほのぼの 男主人公 現代 未来 魔法 冒険 ゲーム ダンジョン VRMMO BK小説大賞2 集英社小説大賞７ ＢＷＫ大賞１,False,,520,3172,2026-08-31,0,6878,756,103,"＊短編版は以下になります。
https://ncode.syosetu.com/n1830mg/

こちらでは上記の短編版の内容をもとに、加筆・修正を行っています。
※第1話〜第6話が短編部分の内容になります。


―――――

レイドに遅れた俺が向かったのは、攻略組が帰った後の戦場跡だった。

正式サービス開始から2年。
初めて確認された色付き大型モンスター《灰冠竜グラウム》は、すでに討伐された。

報酬交換も終わりかけた、誰も来ない撤収中のインスタンスエリア。

そこで俺はある補給兵と出会い、誰にも拾われていなかったものを探すことになった。

報酬は経験値18。
そして、装備不可、取引不可のワールドユニークログ。

倒されたボスの後にも。
終わったイベントの後にも。
誰にも見つけられないまま、世界にはまだ何かが残っているものがある。

攻略組が帰った後から、俺だけのVRMMOが始まった。


―――――
カクヨム様でも投稿開始しました。
",157,0,264326,13218,124,730,3472,,,4,0,0,1
N0174GY,【12/8 書籍 最終巻 発売】ゴブリン令嬢と転生貴族が幸せになるまで　　婚約者の彼女のための前世知識の上手な使い方,新天新地,101,R15 残酷な描写あり シリアス 魔法 ハッピーエンド 身分差 ラブコメ イケメン男主人公 知識チート 溺愛 婚約破棄 女性視点 純愛 男性視点 一途 書籍化 コミカライズ,False,,,41675,2026-07-20,0.0,304132.0,31764.0,52.0,"◆◆カドカワBOOKS様より書籍3巻発売です！
この巻でこの物語は完結です。
皆様のおかげで無事、最後まで書き切ることができました。
本当に、応援ありがとうございました。
3巻は大半が書き下ろしで、主な内容は戦争と建国です。
一人の女性のために国まで造ってしまったジーノの愛の深さと、そんなジーノを懸命に慕う健気なアナをぜひぜひご堪能下さいませ。

書籍化に伴いタイトル変えました。◆
【旧題】ブサイクで有名な令嬢と婚約した。彼女はとても可愛らしい性格の人だった。　～『ゴブリン令嬢』と蔑まれる令嬢に恋した美貌の令息が彼女を幸せにしようと奮闘する物語～◆

◆あらすじ◆
貧乏子爵家四男の私に公爵家から縁談話が来た。お相手は『ゴブリン令嬢』と呼ばれる醜女。婚約相手が見つからず、私に白羽の矢が立ったのだ。爵位の差で断るなんてできない。
だが令嬢自身は破談を目論んでいた。醜女と無理矢理婚約させられた私への申し訳なさからだった。
……放っておけない。女性から蛇蝎の如く嫌われたキモメン。それが前世の私だ。容姿で差別される辛さはよく知っている。人間、大事なのは中身だ。そうだろう？
全てを諦めたように笑う彼女。いつか本当の笑顔で笑ってもらおうではないか。そう思って強引に婚約を成立させたが、令嬢はとても愛らしい人だった。彼女に夢中になるのに、そう時間は掛からなかった。
◆◆皆様のおかげでランキング載りました。応援ありがとうございます。
これを貼ると読んでくれる人が増えるらしいので達成順位貼ります。
【総合】日間1位、週間1位、月間1位、四半期1位、年間2位（完結済1位）。
【ジャンル別（異世界恋愛）】週間1位、月間1位、四半期1位、年間1位。
◆◆カクヨムにも投稿しています。
◆◆このお話が漫画になりました。漫画家は風守いなぎ先生です。笑わないジーノとゴブリンのアナ、という漫画にし難いものを見事に漫画にしてくれています。ぜひぜひご一読下さいませ。
",2137.0,74.0,255638.0,387482.0,32.0,248.0,1390.0,,,1.0,0.0,0.0,0.0
N1021JU,魅了を捨てた悪役令嬢は、他の魅力で無双する,ジュレヌク,101,異世界転生 ギャグ ほのぼの 女主人公 西洋 学園 中世 魅了 転生 ツンデレ 魔女 聖獣 精霊王,False,,,145,2026-06-23,0.0,3478.0,424.0,1.0,"自分が、バットエンドしかない魅了持ちと気づいた転生悪役公爵令嬢セリーヌ・デュボア、八歳。
母を病で早くになくし、唯一の肉親である父に溺愛されて育ったが、もしかして、これは、魅了のせいでは？
そんな魅了なんか、いりません！
伝説の魔女にお願いし、魅了を封印してもらったまでは良かったが、何故か、猫に擬態した魔女と聖獣と精霊王と女神が付いてきた。
しかも、転生者特典で、前世のスキルを受け継ぎツンデレ天才美少女が爆誕。
王太子妃候補にまで祭り上げられ、逃げたい本人とは裏腹に、どんどん距離を詰められている。
あれ？なんで、こうなったの？",0.0,0.0,7574.0,3768.0,28.0,178.0,1470.0,,,,,,
N1795JX,伯爵令嬢は最強の平民に嫁ぎます～お父様の命の恩人はただの平民でしたが、王を救って今は騎士。いずれは騎士団長に成り上がると噂の美男です。自分が嫁ぎたかった？残念、もう遅くてよ？～,赤林檎,101,異世界転生 女主人公 西洋 中世 ハッピーエンド 身分差 騎士 コメディ ざまぁ いちゃいちゃ もう遅い,False,,,1045,2026-07-20,0.0,21926.0,2571.0,1.0,"【コミカライズ】伯爵令嬢のオリビアは、ある日、父から娘の一人を平民の嫁にしなければならなくなったと告げられた。

オリビアは、父の命の恩人である平民のテオドールに嫁ぐことになった。

テオドールの元に小さな鞄一つしか持たず嫁いだオリビアは、テオドールから辺境で父だけでなく、国王陛下も救ったと聞かされた。


2025/7/8　ブシロードワークス社
『令嬢ですが、わたくしだって好きに恋がしたいです！～幸せのため思うがまま生きますわ～アンソロジーコミック』
にてコミカライズしていただきました！",11.0,0.0,12742.0,24016.0,20.0,86.0,1656.0,,,1.0,1.0,0.0,0.0
N2052MC,人質王女は幼馴染の国王の執着から逃れられない,狭山ひびき,101,女主人公 ハッピーエンド ざまぁ 両片思い 逃がさない 溺愛,False,,,646,2026-07-13,0.0,2290.0,255.0,46.0,"ノウェスナー国第一王女カレンは、八歳の時からフェアクロフト国で人質として暮らしていた。
フェアクロフト国の人々はカレンに冷たく、唯一優しく接してくれるのが世継ぎの王子であるアーネストだった。カレンがアーネストに淡い恋心を抱くのは必然で、けれども人質王女である身としてはそれは許されないことだった。
しかしカレンが十六歳になった頃。運命の歯車は回り出す。アーネストの父が崩御し、彼が王になったのだ。
これまで離宮で息を殺すように暮らしていたカレンは離宮から城へ部屋が移される。
人質期間が終わるまではあと二年。大好きなアーネストにより近いところで暮らせることに喜びを覚えると同時に、切なさも覚えるカレン。何故なら王となったアーネストは、急いで妃を探さなくてはならないからだ。
これまでのらりくらりと誰とも婚約せずにいたアーネストも、王となればそうはいかない。
大好きな人が他人のものになる日も目前だろう。
痛む胸を押さえて微笑む毎日を送っていたカレンの耳に、ついにアーネストの婚約の話が入って来る。
ショックを受けるカレンに追い打ちをかけるように、アーネストの弟グラッドウィンから、カレンの存在はこの国にとって邪魔だと言われて――
",2.0,0.0,90401.0,3582.0,2.0,66.0,1432.0,,,1.0,0.0,0.0,0.0
N2366MI,「病弱な幼馴染の所に足繫く通う婚約者と掛けまして、底の抜けたバケツと説きます」,衛朱,307,ＢＷＫ大賞１ BK小説大賞2 女主人公,False,,,70,2026-07-20,0.0,5062.0,615.0,1.0,"病弱（自称）の幼馴染みの元に足繁く通う婚約者というものを書いてみたかったんですが、最終的に婚約者は空気になりました。

ゆるゆるふんわりファンタジー世界です。",7.0,0.0,10250.0,5202.0,10.0,44.0,2954.0,,,3.0,0.0,0.0,0.0
N3267MI,浮気が些細な遊びと仰るのなら、誰の前でも続けられますよね？,ひとえ,101,ＢＷＫ大賞１ BK小説大賞2 アイリスIF9大賞 なろうフェス2026 女主人公 西洋 身分差 悪役令嬢 ざまぁ 魔道具 婚約破棄 浮気 令嬢,False,,,88,2026-07-20,0.0,6034.0,790.0,1.0,"
　アイラ・クルスト子爵令嬢はエルダー・ウィルク伯爵令息と婚約した。

　エルダーの女遊びは婚約する前から有名であったが、アイラとの式が近づくにつれより拍車がかかるようになる。

「俺と婚約できたのだから、些細な遊びくらい大目にみろ」

　あまりに身勝手なエルダーに耐え切れず、アイラはある計画を思いつく。

　舞踏会の最中、愛人の待つ庭園へと抜け出すエルダー。
　その後ろ姿を見送り、アイラはホールの中へと入る。

　買収した使用人。事前にエルダーに渡した魔道具。

　これで舞台は整った。
",6.0,0.0,2388.0,6210.0,0.0,32.0,4574.0,,,1.0,0.0,0.0,0.0
N3381MA, 解析スキル「アナライズ」でチートだけど、私は鑑定士なので受付嬢と冒険者はお断りです！～呪いの兎型アーティファクトを添えて～,夢咲みやと,201,女主人公 西洋 中世 チート 冒険 日常 ハッピーエンド 恋愛 ギルド嬢 巻き込まれ 鑑定 お仕事 平穏希望 両想い アーティファクト,False,,,609,2026-07-13,0.0,1238.0,137.0,118.0,"希少スキル、鑑定の上位スキルの『解析』をもっているセルフィは特技を生かした仕事で冒険者ギルドに就職している。

鑑定科で魔物の素材や魔石などの鑑定をして、安心・安全な生活をしていたが、ある日突然王城からの依頼でアーティファクトを解析した所、兎の形をした願望器（呪）に契約者扱いされてしまう。

更には有名パーティーに同行する事になって手伝う事も多々ありーーー。

これは平凡な裏方業務になりたいながらも、巻き込まれ体質のせいで望まぬ事件に引っ張られる女の子のお話。

※第二部更新中です！

カクヨム・アルファポリスにも投稿しています",4.0,0.0,255982.0,2456.0,2.0,48.0,2404.0,,,2.0,0.0,0.0,1.0
N3418MC,【連載版・完結済】婚約破棄＆追放された悪役令嬢、辺境村でまったり錬金術生活（元勇者家政夫＆その娘の女児付き）,シルク,101,異世界転生 ほのぼの 女主人公 西洋 魔法 冒険 ハッピーエンド グルメ 悪役令嬢 春チャレンジ2026 スローライフ 錬金術 幼女 元勇者 追放令嬢 辺境,False,,,365,2026-07-13,0.0,1794.0,202.0,51.0,"【完結済み・全2部】王子に婚約破棄され、王都を追放された錬金術師の悪役令嬢アンジュ。無実の罪だったけれど――正直、せいせいした。王妃候補として生きる窮屈な日々も、傲慢な婚約者も、もうたくさん。これからは辺境の村で、誰にも邪魔されず、自分のために生きていくつもりだった。そうして辿り着いた先で相続したのは、古びた屋敷「雲雀館」。だが、そこには先客がいた。無口で不愛想、なのに料理も掃除も庭仕事も完璧な子連れの男――その正体は、かつて大陸に名を轟かせた元勇者ユースティスだった。
「家政夫として雇われてくれない？」
「……俺でよければ」
追放された錬金術師令嬢と、勇者の座を追われた元勇者。さらに風の声を聞く幼い娘ココも加わって、三人の奇妙で穏やかな共同生活が始まる。アンジュの錬金術は、薬や日焼け止め、保存食や魔道具となって辺境の村の暮らしを少しずつ豊かにし、やがて評判は村の外へ。美味しいごはん、あたたかな暮らし、少しずつ深まっていく絆。失ったはずの居場所は、いつの間にかここにあった。そしてその頃、王都で彼女を切り捨てた者たちは、ようやく気づきはじめる。自分たちが手放したのが、どれほど大きな存在だったのかを――。これは、追放令嬢と元勇者家政夫、そして幼女が紡ぐ、錬金術×グルメ×じれじれ恋愛×辺境スローライフの物語。前半は雲雀館での暮らしと錬金術スローライフが中心です。26話以降からは物語が大きく動き、王都・元勇者パーティー・実家・恋愛面の展開も増えていきます。　",6.0,0.0,176046.0,2524.0,0.0,64.0,2242.0,,,1.0,1.0,0.0,0.0
N3509ME,「お前を愛するつもりはない!」「どんな教育を受けてきたんですか?」,井上さん,302,ＢＷＫ大賞１ BK小説大賞2 ギャグ 女主人公 ハッピーエンド,False,,,36,2026-07-20,0.0,4278.0,533.0,1.0,「お前を愛するつもりはない!」って言っちゃう人は、まともな貴族教育を受けてないんだろうなぁ…というのが常識の世代だと、こうなるんじゃないか?,2.0,0.0,794.0,4350.0,12.0,40.0,2446.0,,,3.0,0.0,0.0,0.0
N3586MI,これも真実の愛の一種ではないでしょうか,七瀬 紫苑,101,,False,,,29,2026-07-13,0.0,2418.0,309.0,1.0,"水の都と呼ばれる国“ウンディーネ王国”
その国の第一王子、クリストフ・ウンディーネ・アズール。そしてその婚約者、レティシア・スマトラ侯爵令嬢。
仲が良いとされていた二人だが…。

「私はペトロール男爵令嬢と結婚したいと思っている」

婚約者である第一王子がとんでもないことを言い出しました。

王族離籍と婚約破棄。貴族として正しい手順で想い人を選ぼうとするクリストフに、レティシアは…。",0.0,0.0,2915.0,2476.0,0.0,6.0,2476.0,,,1.0,0.0,0.0,0.0
N3865MI,妹が聖女を名乗り始めたので止めたのですが、誰も信じてくれませんでした。,彩乃あゆ,101,AI直接使用 男主人公 聖女 偽聖女 真の聖女 婚約破棄 ざまぁ 断罪 妹の嘘 兄視点 シスコンではない,False,,,61,2026-07-20,0.0,2774.0,338.0,1.0,"

幼い頃から、セドリック・レインズは妹クロエの嘘を見抜いていた。

花瓶を割った罪を侍女になすりつけた日から始まり、使用人への濡れ衣、友人への嫌がらせ――そのたびに真実を語ったが、可憐で愛らしい妹を信じる者ばかりで、誰一人としてセドリックの言葉に耳を傾けなかった。

やがて成長したクロエは、神殿で起きた奇跡をきっかけに「未来の聖女」と呼ばれるようになる。

だが、長年妹を見てきたセドリックには分かっていた。

彼女は本当に聖女なのか――と。

周囲が熱狂し、神殿や王太子までもがクロエを支持する中、セドリックは一人で真実を追い始める。そして出会ったのは、本来聖女候補として期待されながらも、偽りの噂によって追い詰められていた侯爵令嬢ヴィヴィアンだった。

誰も信じてくれなかった兄と、誰にも真実を見てもらえなかった令嬢。

二人が辿り着いた先にあったのは、王国を揺るがす大きな嘘と、本物の奇跡だった――。

これは、たった一人だけ妹の嘘を見抜いていた兄が、真実を証明し、真なる聖女と共に未来を切り開く物語。


",9.0,0.0,21564.0,2896.0,0.0,0.0,1408.0,,,1.0,0.0,0.0,0.0
N4545IJ,【Web版】旦那様、離縁はOKですがスローライフは継続希望です！～忌み嫌われた能力は、実は聖女よりも万能でした～【コミカライズ①巻発売中、書籍②巻発売中】,優月アカネ@重版御礼,101,女主人公 ハッピーエンド グルメ 悪役令嬢 ラブコメ スローライフ もふもふ ど根性ヒロイン 聖女 ざまぁ 婚約破棄 偽装結婚 執着してくる妹 一途なヒーロー,False,,555,15078,2026-08-31,0,85028,9403,87,"※こちらはWEB版です。書籍とは内容や登場キャラに違いがあります
ベルハイム王国第一王女、ルビー・ローズ・デルファイア。彼女は『毒使い』という能力を恐れられ、家族から虐げられて幽閉されていた。そんなある日、ルビーは妹であり聖女のアクアマリンの身代わりとして、魔の国とも呼ばれるラングレー皇国への嫁入りを言い渡される。
人を疑うことを知らないルビーは嫁入りしたものの、初日に夫であるセオドアに正体を見抜かれる。「ほしかったのは聖女の妹だ。そなたは不要だから、妻とは思わない」と通告されてしまうが――。
これは無自覚最強王女が幸せを掴むまでのシンデレラストーリー。
※ドラゴンノベルスより書籍②巻発売中
※ピクシブでコミカライズ連載中！第①巻7/31発売！
",202,1,204258,115184,38,404,3162,,,1,0,0,1
N5105LX,悪役令嬢、『ざまあ』のち、タイプの男を捕まえる！,ゼン,101,異世界転生 ハッピーエンド 悪役令嬢 ラブコメ ネトコン14 婚約破棄 ざまあ コメディ 一目惚れ 押しまくる 恋愛部門異世界,False,,,0,2026-06-22,0.0,35078.0,3831.0,5.0,"婚約者に裏切られ、顎に一撃を食らったその瞬間、アンジェリカは思い出した。自分が、悪役令嬢（小物）である、と。
恋心が死んだアンジェリカは、浮気男と泥棒猫をまとめて『ざまあ』するも、その代償は大きかった。
……嫁ぎ先が見つからないのである。
そんな中、父が釣書を持ってきた。ビビビッ！！
超絶好みの男に、アンジェリカはテンション爆上がりするのであった！！！
※四話完結です。
※おまけ話を一話追加しました。",0.0,0.0,,,,,,,,,,,
