ncode,title,author,genre,tags,is_anime,anime_id,monthly_rank_latest,bookmark_count_latest,updated_at,weekly_unique_latest,all_point_latest,all_hyoka_cnt_latest,episode_count_latest,story,impression_cnt_latest,review_cnt_latest,length,global_point_latest,daily_point_latest,weekly_point_latest,monthly_point_latest,general_lastup,novel_updated_at,biggenre,is_isekai_tensei,is_isekai_tenni,is_completed
N9677MD,悪役令嬢の父は、家族の死亡フラグをすべて叩き潰すことにした,霜月零@6/6発売✨『恋愛不適合な二人ですが』,201,異世界転生 男主人公 西洋 中世 ハッピーエンド 悪役令嬢 令嬢 勘違い王子 家族愛 溺愛パパ チート？,False,,,1045,2026-07-13,0.0,32462.0,3744.0,1.0,"「うわ……最悪……」

王子の名前を愛娘の口からきいた瞬間、前世を思いだした俺。
愛する妻と娘を失って、王家に復讐する悪役令嬢の父に転生していると気づいてしまった。
気付いたなら、妻と娘の死亡フラグは破壊するよ。
まだ二人とも生きてるからね。
物語の通りになんて、させるか！

※他サイトにも公開中です

◆5/29　ハイファンタジー部門ランキングTOP✨
◆5/30　総合ランキング短編＆すべてで1位✨
◆週間総合5位も！✨
　ありがとうございます＞＜！

※本作品の文章・内容の無断転載、動画化、読み上げ配信は禁止しております。
　特にYouTube等の動画サイトへの無断使用は固くお断りします。",29.0,0.0,8124.0,34552.0,0.0,110.0,1552.0,,,2.0,1.0,0.0,0.0
N9282MG,「自サバ女を見習え」って？ 何を仰ってるの？,あらいサラ,101,女主人公 自サバ サバサバ 婚約者 婚約破棄 ざまぁ,False,,,993,2026-07-13,0.0,32204.0,3749.0,1.0,"「あたし、男ばっかの中で育ったから、今さら女同士のネチネチした付き合いとか無理なんだよねー」

婚約者とのお茶会に割り込んできた自称サバサバ女。
そんな彼女に鼻を伸ばしながら「シルフィーナも見習ったらどうだい？」とぬかすアホ婚約者。

（あら……これは万死に値するのでは……？）

よろしい、ならば断罪です！！

「うふふ、男勝りだという割に、ずいぶんと女の体を武器にされてますのね。ミレイユ様も、とっても女の嫌な部分が出てますわよ？」

 「自サバ女を見習え」ですって？
 淑女の教育を受けてこなかった下品な方を手本にするなど、お断りですわ！！！

自称サバサバ女を優雅にねじ伏せる、一話完結の爽快ざまぁファンタジー！
",35.0,0.0,6976.0,34190.0,16.0,100.0,1894.0,,,1.0,0.0,0.0,0.0
N4547MF,完結　生贄の小舟,ジュレヌク,101,残酷な描写あり シリアス 女主人公 西洋 中世 ハッピーエンド ざまぁ 復讐 姉妹格差,False,,,1873,2026-07-13,0.0,30142.0,3357.0,8.0,"生贄として捧げられる運命だった妹キキ。
しかし、儀式の三日前に妊娠していることが判明する。
代わりを出さねばならなくなった両親は、何の迷いもなく姉アッカを差し出した。
十歳の頃に行方不明となり、数日後に帰ってきてからは、島の『普通』からはかけ離れた行動をしてきたアッカ。
誰もが、彼女を惜しむ気配すら見せない。
小舟に乗せられ、流れの速い海流に乗せられたら、もう二度と帰ってくることは叶わない。
何故なら、彼女は、海に住まう神への捧げ物なのだから。

全てを分かった上で、アッカは、抵抗することすらなく船に乗る。
内心、この儀式を馬鹿馬鹿しいと思っているはずなのに。
濃い霧のなか、船が流されると、あっという間に姿は見えなくなった。
このまま、十七歳という短い人生を終えるのだろうか？

しかし、島民は知らない。
彼女に言葉と知恵を与えた存在。
そして、どちらが生贄で、どちらが勝者なのかを。

これは、生きる渇望で瞳を輝かせる一人の少女が、生への渇望を胸に羽ばたく物語。",33.0,1.0,28378.0,33888.0,32.0,176.0,1846.0,,,1.0,0.0,0.0,0.0
N9856ME,【悲報】わたくしのド下手な刺繍に付与魔法がついていた,赤道りんご,201,ギャグ 魔法 刺繍 付与魔法 トレント 恋愛,False,,,1323,2026-06-29,0.0,32582.0,3716.0,1.0,"「そういえば、シャリーに頼みたいことがあったんだ。君が刺繍をしたハンカチをいくつか分けてもらいたい」
私の刺繍したハンカチに付与がついているって嘘でしょ？

後半は婚約者視点になります。",48.0,0.0,7908.0,35228.0,20.0,98.0,2262.0,,,,,,
N8444MF,王太子に「二度と戻るな」と魔法契約で追放されました。戻ってこいとのご命令ですが、契約書をご確認ください,灯野ましろ,201,女主人公 魔法 冒険者 追放 ざまぁ 王太子 魔法契約 契約書 低魔力 ハッピーエンド,False,,,1088,2026-07-13,0.0,31360.0,3710.0,1.0,"高ランク冒険者リディアは、王宮の測定で「魔力量、初級魔術師の三割未満」と出た瞬間、王太子から詐欺師と断じられた。

下された処分は、破ることのできない魔法契約つきの国外永久追放。
その契約書には、王太子自身の命令でこう刻まれていた。

「王族も貴族も軍も、リディアに帰還・召喚・登用を命じることを禁ずる」

王国で古代魔法罠が暴走したのは、その数日後のことだった。",43.0,0.0,10518.0,33536.0,22.0,114.0,1384.0,,,2.0,0.0,0.0,0.0
N6871MD,ドアマットヒロインになる展開は最初に潰したので。,とろキオ,101,ギャグ 女主人公 西洋 聖女 ドアマット回避 婚約破棄 隠れヤンデレ,False,,,1048,2026-06-29,0.0,31850.0,3681.0,1.0,"社交界で聖女と言われている義妹を苛めたとして婚約破棄を宣言されたロレーヌ。
ドアマット展開を自覚なく回避したものの、義妹に婚約者を奪われる展開は避けられず－－－

それはそうと、聖女？　その娘が？",81.0,0.0,10791.0,33946.0,2.0,144.0,4064.0,,,,,,
N9727MG,『やったー！貴方と結婚できて最高に嬉しい』とあまりに妻が言うのでだんだんその気になって来た男爵,三輪　有利佳　　(旧　美輪 伊織),101,R15 ほのぼの 男主人公 西洋 中世 ハッピーエンド ポジティブ妻 気合いの入った旦那様,False,,870,2947,2026-08-31,0,33658,3621,9,"伯爵家の四男だったオーランド・ガッシュは学生時代のヤンチャが元で、実家から勘当されていた。

しかし、優秀な兄三人の相次ぐ離脱により実家に戻ることに。領地の大部分を手放し、伯爵の地位も男爵位に落とされた。
急に弱った父と、気を落とした母を抱えて結婚なんて無理だ…と思っていた矢先、王子殿下が見合いの話を持ってくる。

『二歳年上だけど良い子なんだ』

苦労もあったけど前向きな女性の言葉で、ちょっと捻くれた男性が一緒に前向きになっていくお話。


【第二章】スタートです。
とにかくお金が足りないガッシュ男爵家の立て直しがスタートします。
イングリッドとオーランドは辺鄙な土地の発展を成功させることができるのか？

ちょっとイカチー旦那様と、天然跳ね返り奥様の毎日を綴ります。

おかげさまで【日間総合一位！】ありがとうございます。
たくさんの方に読後感の良い話だと感想をいただき感謝に絶えません。

誤字脱字、私のうっかりミス、これらを温かく支えてくださっている皆様のお力もこの作品の支柱にあります。

どうかこの作品がより多くの方に楽しんでもらえますように^_^",41,0,46609,39552,46,234,1710,,,1,0,0,1
N8222MH,綺麗なままではいられない,藍田ひびき,101,ＢＷＫ大賞１ 女主人公 婚約解消 聖女 アホ王子 微ざまぁ,False,,697,1247,2026-08-31,0,38730,4520,1,"「ユーディット、君との婚約を解消したい」

聖女ユーディット・ローゼンハイン侯爵令嬢は、聖力を失ったことを理由に婚約者のアルノルト王子から婚約を解消された。そしてアルノルトは高い聖力を持つソフィア・リーツ子爵令嬢と新たに婚約する。
ユーディットを自分の側近と婚約させようとするアルノルト王子だったが、彼女はそれを断り辺境の神殿へと赴く。ユーディットが去った後、王宮では思わぬ事態が発生して……？

※ 6/14～15 日間総合ランキング1位、6/19～20 週間総合ランキング2位になりました。ありがとうございます！
※ 他サイトにも投稿しています。",38,0,9918,41224,34,992,2306,,,1,0,0,0
N9769MF,笑顔が好きだった　【コミカライズ進行中】,三香,101,婚約破棄 幼馴染み 月が綺麗です 溺愛 ざまぁ 地獄の後悔,False,,973,1216,2026-08-31,0,33594,3934,1,ティーラとアルマンドは幼馴染みの婚約者だった。貴族なのに好きな人と将来結婚できることを、ティーラは幸運であり幸福だと思っていた。しかしアルマンドはティーラの愛を知っていながら浮気をした。しかもティーラの愛情の上に胡座をかいて、ティーラと結婚をするつもりだった。それに対してティーラは―――。,61,0,6577,36016,24,574,1492,,,1,0,0,0
N2240MH,夫に名前を覚えてもらえない妻ラウラの一年間、のち離婚,新井福,101,シリアス ほのぼの 女主人公 ハッピーエンド チョロい夫 お菓子 土下座も辞さない従者 頼れる姉貴分 姉妹格差,False,,,2117,2026-08-03,0.0,30930.0,3367.0,12.0,"婚約者を妹に取られた上、和平のため隣国へ嫁ぐことになったラウラ。
覚悟を決め輿入れした彼女を待っていたのは――冷徹な夫に毎朝自己紹介をするという、奇妙な一年間限定の結婚生活だった。
「おはようございます、セルゲイ様。私はラウラ・エルゼ・フォレスター、あなたの妻です」
「かわいい」
「え」

――一年後。離婚をしたラウラは、叶わない恋心を抱えながら、違う男との結婚式に臨んでいた。",38.0,1.0,58844.0,35164.0,50.0,322.0,1774.0,,,1.0,0.0,0.0,0.0
