ncode,narou_title,is_book,amazon_asin_vol1,amazon_url_vol1,amazon_title_vol1,amazon_rating,amazon_review_count,match_score,checked_at
N2421EU,転生幼女はあきらめない,True,482420724X,https://www.amazon.co.jp/dp/482420724X,転生幼女はあきらめない１２,,,0.9167,2026-06-23
N3447MF,この中に１人、婚約者の病弱な幼馴染がいる！,False,,,,,,0.0,2026-06-23
N8496MA,〈Genesis of Anomaly〉〜恩寵という名のデバフを盛るほど強くなるVRMMOで、盛れるだけ盛ったオンボロ機械兵器のお話〜,False,,,,,,0.0,2026-06-23
N8883LT,脇役転生くんのいる世界の小話,False,,,,,,0.0,2026-06-23
N0089MH,雪山に捨てられた少女、伝説の元最強諜報員に拾われる。無自覚万能令嬢は『普通の生活』をお望みです！,False,,,,,,0.0,2026-06-23
N7023LZ,脇役転生したからチート主人公の腰巾着しようと思った,False,,,,,,0.0,2026-06-23
N4353IM,婚約者から「第二夫人になって欲しい」と言われ、キレて拳（グーパン）で懲らしめたのちに、王都にある魔法学校に入学した話,False,,,,,,0.0,2026-06-23
N9450FL,辺境ぐらしの魔王、転生して最強の魔術師になる　〜愛されながら成り上がる元魔王は、人間を知りたい〜,True,B08VRJ4GXH,https://www.amazon.co.jp/dp/B08VRJ4GXH,辺境ぐらしの魔王、転生して最強の魔術師になる　１ (MFC),,,0.5897,2026-06-23
N9530EY,白豚貴族だったどうしようもない私に前世の記憶が生えた件 (書籍：白豚貴族ですが前世の記憶が生えたのでひよこな弟育てます),True,B0GWNSFBLS,https://www.amazon.co.jp/dp/B0GWNSFBLS,白豚貴族ですが前世の記憶が生えたのでひよこな弟育てます17,,,0.6067,2026-06-23
N4975MD,アラサーＴＳメスガキ魔法少女に煽られて恥ずかしくないの？♡ざぁーこ♡,False,,,,,,0.0,2026-06-23
N8396FT,前世と今世の幸せ,False,,,,,,0.0,2026-06-23
N3155MF,空いた隣席を、社交界の皆さまは静かに見ていらっしゃいました,False,,,,,,0.0,2026-06-23
N9510MF,利用されてきた公爵令嬢ですが、わたくしがこれから貴方達を利用するのよ。,False,,,,,,0.0,2026-06-23
