date,ncode,cumulative_view,daily_view,bookmark_count,monthly_rank,weekly_rank,weekly_unique,all_point,all_hyoka_cnt,episode_count
2026-06-19,N0148MB,17264.0,,0.0,112.0,,,13838.0,1524.0,30.0
2026-06-19,N9728MG,15972.0,,0.0,113.0,,,15354.0,1902.0,1.0
2026-06-19,N0165MI,16228.0,,0.0,114.0,,,15574.0,1867.0,1.0
2026-06-19,N7559MH,15926.0,,0.0,115.0,,,14892.0,1666.0,1.0
2026-06-19,N0385MF,34612.0,,0.0,116.0,,,32132.0,3632.0,1.0
2026-06-19,N6960MC,16402.0,,0.0,117.0,,,13224.0,1447.0,24.0
2026-06-19,N0177LI,15612.0,,0.0,118.0,,,15038.0,1901.0,1.0
2026-06-19,N8421MF,15530.0,,0.0,119.0,,,14912.0,1885.0,1.0
2026-06-19,N3526MI,15808.0,,0.0,120.0,,,15092.0,1829.0,1.0
2026-06-19,N1852MH,15260.0,,0.0,121.0,,,14524.0,1800.0,1.0
2026-06-19,N4413MG,16120.0,,0.0,122.0,,,8348.0,941.0,16.0
2026-06-19,N3629MA,72852.0,,0.0,123.0,,,42098.0,4664.0,124.0
2026-06-19,N1151MI,15536.0,,0.0,124.0,,,14570.0,1731.0,1.0
2026-06-19,N4292MF,15020.0,,0.0,125.0,,,14404.0,1709.0,1.0
2026-06-19,N3453MB,14968.0,,0.0,126.0,,,14390.0,1714.0,1.0
2026-06-19,N3543MF,14964.0,,0.0,127.0,,,14176.0,1700.0,1.0
2026-06-19,N1545MG,14676.0,,0.0,128.0,,,13916.0,1637.0,1.0
2026-06-19,N5488MG,15190.0,,0.0,129.0,,,14678.0,1776.0,1.0
2026-06-19,N4384ME,38066.0,,0.0,130.0,,,34354.0,3888.0,1.0
2026-06-19,N1556MI,14844.0,,0.0,131.0,,,14212.0,1675.0,1.0
2026-06-19,N1060MH,14408.0,,0.0,132.0,,,13876.0,1686.0,1.0
2026-06-19,N0063LR,194690.0,,0.0,133.0,,,116862.0,12851.0,154.0
2026-06-19,N6207MH,14490.0,,0.0,134.0,,,13694.0,1653.0,1.0
2026-06-19,N3874MG,14416.0,,0.0,135.0,,,13658.0,1543.0,1.0
2026-06-19,N5833MG,14252.0,,0.0,136.0,,,13642.0,1716.0,1.0
2026-06-19,N7526MG,14220.0,,0.0,137.0,,,13722.0,1682.0,1.0
2026-06-19,N2267BE,773650.0,,0.0,139.0,,,268666.0,27592.0,782.0
2026-06-19,N0287ME,20122.0,,0.0,138.0,,,11558.0,1270.0,38.0
2026-06-19,N9880MD,13998.0,,0.0,140.0,,,13470.0,1671.0,1.0
2026-06-19,N4346MI,15182.0,,0.0,141.0,,,14670.0,1809.0,1.0
2026-06-19,N1775JU,17516.0,,0.0,142.0,,,9494.0,1131.0,640.0
2026-06-19,N0484MF,19194.0,,0.0,143.0,,,18254.0,2218.0,1.0
2026-06-19,N3431MG,13820.0,,0.0,144.0,,,13306.0,1677.0,1.0
2026-06-19,N6566MF,13874.0,,0.0,145.0,,,11680.0,1373.0,24.0
2026-06-19,N9921MD,13724.0,,0.0,146.0,,,13304.0,1628.0,1.0
2026-06-19,N0050MF,13630.0,,0.0,147.0,,,13148.0,1536.0,1.0
2026-06-19,N0335ME,16010.0,,0.0,148.0,,,10084.0,1067.0,26.0
2026-06-19,N8217MH,13436.0,,0.0,149.0,,,12818.0,1495.0,1.0
2026-06-19,N4413MF,13332.0,,0.0,150.0,,,12852.0,1481.0,1.0
2026-06-19,N5925MG,13320.0,,0.0,151.0,,,12846.0,1598.0,1.0
2026-06-19,N2514MI,14552.0,,0.0,152.0,,,13984.0,1656.0,1.0
2026-06-19,N6568MH,13720.0,,0.0,153.0,,,12986.0,1521.0,1.0
2026-06-19,N4513MG,12826.0,,0.0,154.0,,,12122.0,1516.0,1.0
2026-06-19,N4817LW,22398.0,,0.0,155.0,,,19410.0,2134.0,15.0
2026-06-19,N4670MG,12740.0,,0.0,156.0,,,12300.0,1579.0,1.0
2026-06-19,N2449MH,12632.0,,0.0,157.0,,,12108.0,1432.0,1.0
2026-06-19,N8562MF,12608.0,,0.0,158.0,,,12020.0,1510.0,1.0
2026-06-19,N6458MD,12892.0,,0.0,159.0,,,7024.0,804.0,110.0
2026-06-19,N5582ME,12546.0,,0.0,160.0,,,12066.0,1484.0,1.0
2026-06-19,N3727MI,13110.0,,0.0,161.0,,,12672.0,1526.0,1.0
2026-06-19,N0228MH,12440.0,,0.0,162.0,,,12030.0,1470.0,1.0
2026-06-19,N5284MB,12400.0,,0.0,163.0,,,12004.0,1448.0,1.0
2026-06-19,N6650MI,17808.0,,0.0,164.0,,,16680.0,1933.0,2.0
2026-06-19,N1903MF,12464.0,,0.0,165.0,,,10188.0,1213.0,27.0
2026-06-19,N1080MG,12308.0,,0.0,166.0,,,11828.0,1366.0,1.0
2026-06-19,N0809MG,12300.0,,0.0,167.0,,,11820.0,1431.0,1.0
2026-06-19,N9503MB,12420.0,,0.0,168.0,,,11470.0,1324.0,1.0
2026-06-19,N9647MH,12396.0,,0.0,169.0,,,11944.0,1467.0,1.0
2026-06-19,N3203MB,12146.0,,0.0,170.0,,,11484.0,1356.0,1.0
2026-06-19,N7003MA,11930.0,,0.0,171.0,,,11488.0,1394.0,1.0
2026-06-19,N9308MH,11992.0,,0.0,172.0,,,11506.0,1368.0,1.0
2026-06-19,N6206MF,11822.0,,0.0,173.0,,,11356.0,1383.0,1.0
2026-06-19,N4400MG,11810.0,,0.0,174.0,,,11236.0,1373.0,1.0
2026-06-19,N5538MD,20932.0,,0.0,175.0,,,19562.0,2255.0,1.0
2026-06-19,N1280JN,11742.0,,0.0,176.0,,,11126.0,1291.0,1.0
2026-06-19,N7483MF,11716.0,,0.0,177.0,,,10778.0,1256.0,4.0
2026-06-19,N4428MH,11672.0,,0.0,178.0,,,10976.0,1276.0,1.0
2026-06-19,N6196ME,11598.0,,0.0,179.0,,,11026.0,1315.0,1.0
2026-06-19,N1937MF,11510.0,,0.0,180.0,,,11150.0,1315.0,1.0
2026-06-19,N1155MC,11906.0,,0.0,181.0,,,6160.0,687.0,102.0
2026-06-19,N6114MG,11380.0,,0.0,182.0,,,10920.0,1314.0,1.0
2026-06-19,N8741MH,11332.0,,0.0,183.0,,,10812.0,1278.0,1.0
2026-06-19,N2963MG,11288.0,,0.0,184.0,,,10660.0,1256.0,1.0
2026-06-19,N0617ME,31520.0,,0.0,185.0,,,29278.0,3463.0,1.0
2026-06-19,N9836MF,11090.0,,0.0,186.0,,,10672.0,1285.0,1.0
2026-06-19,N6311MH,10994.0,,0.0,187.0,,,10614.0,1308.0,1.0
2026-06-19,N8395MF,10854.0,,0.0,188.0,,,10500.0,1242.0,1.0
2026-06-19,N8290MC,11254.0,,0.0,189.0,,,8066.0,878.0,42.0
2026-06-19,N0850MF,10962.0,,0.0,190.0,,,7862.0,943.0,30.0
2026-06-19,N0803MG,10692.0,,0.0,191.0,,,10238.0,1280.0,1.0
2026-06-19,N1313MF,11856.0,,0.0,192.0,,,11338.0,1372.0,1.0
2026-06-19,N2055MF,11152.0,,0.0,193.0,,,10576.0,1347.0,1.0
2026-06-19,N9834MH,11032.0,,0.0,194.0,,,10334.0,1271.0,2.0
2026-06-19,N8470ME,24020.0,,0.0,195.0,,,22456.0,2789.0,1.0
2026-06-19,N1914ME,10466.0,,0.0,196.0,,,10106.0,1261.0,1.0
2026-06-19,N2126MF,10454.0,,0.0,197.0,,,10104.0,1151.0,1.0
2026-06-19,N0888MH,10520.0,,0.0,198.0,,,8716.0,1070.0,6.0
2026-06-19,N8594MG,10410.0,,0.0,199.0,,,9772.0,1200.0,1.0
2026-06-19,N0775MH,10394.0,,0.0,200.0,,,10030.0,1275.0,1.0
2026-06-19,N4517LV,13000.0,,0.0,201.0,,,8554.0,934.0,172.0
2026-06-19,N0544MF,16944.0,,0.0,202.0,,,16266.0,1970.0,1.0
2026-06-19,N6085MI,11776.0,,0.0,203.0,,,11398.0,1384.0,1.0
2026-06-19,N3059ME,10290.0,,0.0,204.0,,,9762.0,1120.0,1.0
2026-06-19,N8368MG,10242.0,,0.0,205.0,,,5108.0,572.0,24.0
2026-06-19,N1972ME,10378.0,,0.0,206.0,,,9822.0,1147.0,1.0
2026-06-19,N5262ME,11528.0,,0.0,207.0,,,9218.0,1093.0,14.0
2026-06-19,N5353MD,16518.0,,0.0,208.0,,,12740.0,1432.0,16.0
2026-06-19,N5184MG,9892.0,,0.0,209.0,,,9562.0,1093.0,1.0
2026-06-19,N1490MC,9836.0,,0.0,210.0,,,9484.0,1207.0,1.0
2026-06-19,N4286MF,9720.0,,0.0,211.0,,,9384.0,1156.0,1.0
